Ward,Aquatic & Fitness Centre,Arena,Art Centre,Artificial Turf,Athletic Park,Fieldhouse,Golf Course - Municipal,Leisure Centre,Leisure Centre - Municipal,Outdoor Pool,Outdoor Wading Pool,Sailing School,Skate Park,Soccer Centre,Spray Park,Total
1,0,2,0,0,0,0,0,2,0,1,0,0,2,0,0,7
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
4,2,5,0,0,0,0,1,0,0,1,0,0,1,0,1,11
5,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,5
6,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,6
7,2,5,1,0,2,1,0,0,0,2,1,0,1,0,1,16
8,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,5
9,3,8,0,0,3,1,0,0,0,2,0,0,0,1,1,19
10,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,5
11,2,7,0,0,3,0,2,2,1,0,0,1,2,0,1,21
12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3
13,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,5
14,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,5
